Capital gains report 2021

Date Sold,Date Acquired,Asset,Amount,Cost (AUD),Proceeds (AUD),Gain / loss,Notes,Holding period
04/12/2021 16:07,26/11/2021 12:55,RUNE,10.65214973,200.0,123.85,-76.15,"",Short term
04/12/2021 16:07,26/11/2021 12:56,RUNE,124.49085273,2000.0,1447.41,-552.59,"",Short term
04/12/2021 16:07,26/11/2021 12:56,RUNE,294.83699752,3527.16,3427.97,-99.19,"",Short term
12/12/2021 21:14,28/11/2021 22:08,SOL,0.76805963,209.13,183.24,-25.89,"",Short term
12/12/2021 21:14,25/11/2021 08:17,SOL,20.19005646,5000.0,4816.76,-183.24,"",Short term
28/12/2021 20:32,25/11/2021 08:18,LUNA,91.78000000,4999.74,10675.28,5675.54,"",Short term
20/01/2022 20:33,24/11/2021 10:33,ETH,0.00625000,36.45,27.1,-9.35,Fee,Short term
20/01/2022 20:55,24/11/2021 10:33,ETH,1.01319780,5908.62,4393.61,-1515.01,"",Short term
20/01/2022 21:01,24/11/2021 10:33,ETH,0.00721382,42.07,31.32,-10.75,"",Short term
20/01/2022 21:01,20/01/2022 20:55,HEX,6000.00000000,1871.95,1828.49,-43.46,"",Short term
20/01/2022 21:05,24/11/2021 10:33,ETH,0.00668036,38.96,29.0,-9.96,"",Short term
20/01/2022 21:05,20/01/2022 20:55,HEX,4500.00000000,1403.96,1371.37,-32.59,"",Short term
20/01/2022 21:08,24/11/2021 10:33,ETH,0.00447983,26.12,19.45,-6.68,"",Short term
20/01/2022 21:08,20/01/2022 20:55,HEX,3582.45942238,1117.7,1091.75,-25.95,"",Short term
20/01/2022 21:17,25/11/2021 08:27,ETH,0.33490298,2000.0,1453.85,-546.15,"",Short term
20/01/2022 21:17,26/11/2021 23:39,ETH,0.34967102,1992.88,1517.96,-474.91,"",Short term
20/01/2022 21:17,24/11/2021 10:33,ETH,0.67695652,3947.78,2938.74,-1009.03,"",Short term
13/02/2022 18:52,26/11/2021 23:39,ETH,0.00625000,35.62,25.59,-10.03,Fee,Short term
13/02/2022 19:01,26/11/2021 23:39,ETH,0.00186503,10.63,7.65,-2.98,"",Short term
