Income report 2021

Date,Asset,Amount,Value (AUD),Type,Description
27/11/2021 10:59,DOT,0.01519350,0.73,Reward,
28/11/2021 10:59,DOT,0.01818661,0.89,Reward,
29/11/2021 10:59,DOT,0.01819258,0.91,Reward,
30/11/2021 10:59,DOT,0.01819856,0.95,Reward,
01/12/2021 10:59,DOT,0.01820454,0.97,Reward,
02/12/2021 10:59,DOT,0.01821052,0.94,Reward,
03/12/2021 10:59,DOT,0.01821650,0.92,Reward,
04/12/2021 10:59,DOT,0.01822249,0.87,Reward,
05/12/2021 10:59,DOT,0.01822848,0.76,Reward,
06/12/2021 10:59,DOT,0.01823447,0.73,Reward,
07/12/2021 10:59,DOT,0.01824046,0.73,Reward,
08/12/2021 10:59,DOT,0.01824645,0.78,Reward,
09/12/2021 10:59,DOT,0.01825244,0.76,Reward,
10/12/2021 10:59,DOT,0.01825844,0.69,Reward,
11/12/2021 10:59,DOT,0.01826444,0.68,Reward,
12/12/2021 10:59,DOT,0.01827044,0.71,Reward,
13/12/2021 10:59,DOT,0.01827644,0.75,Reward,
14/12/2021 10:59,DOT,0.01828245,0.66,Reward,
15/12/2021 10:59,DOT,0.01828845,0.67,Reward,
16/12/2021 10:59,DOT,0.01829446,0.7,Reward,
17/12/2021 10:59,DOT,0.01830047,0.66,Reward,
18/12/2021 10:59,DOT,0.01830648,0.63,Reward,
19/12/2021 10:59,DOT,0.01831250,0.65,Reward,
20/12/2021 10:59,DOT,0.01831852,0.64,Reward,
21/12/2021 10:59,DOT,0.01832453,0.62,Reward,
22/12/2021 10:59,DOT,0.01833055,0.65,Reward,
23/12/2021 10:59,DOT,0.01833658,0.7,Reward,
24/12/2021 10:59,DOT,0.01834260,0.74,Reward,
25/12/2021 10:59,DOT,0.01834863,0.71,Reward,
26/12/2021 10:59,DOT,0.01835466,0.74,Reward,
27/12/2021 10:59,DOT,0.01836069,0.8,Reward,
28/12/2021 10:59,DOT,0.01836672,0.79,Reward,
29/12/2021 10:59,DOT,0.01837275,0.71,Reward,
30/12/2021 10:59,DOT,0.01837879,0.68,Reward,
31/12/2021 10:59,DOT,0.01838483,0.7,Reward,
01/01/2022 10:59,DOT,0.01839087,0.68,Reward,
02/01/2022 10:59,DOT,0.01839691,0.72,Reward,
03/01/2022 10:59,DOT,0.01840295,0.75,Reward,
04/01/2022 10:59,DOT,0.01840900,0.76,Reward,
05/01/2022 10:59,DOT,0.01841505,0.74,Reward,
06/01/2022 10:59,DOT,0.01842110,0.68,Reward,
07/01/2022 10:59,DOT,0.01842715,0.68,Reward,
08/01/2022 10:59,DOT,0.01843320,0.64,Reward,
09/01/2022 10:59,DOT,0.01843926,0.62,Reward,
10/01/2022 10:59,DOT,0.01844532,0.63,Reward,
11/01/2022 10:59,DOT,0.01845138,0.61,Reward,
12/01/2022 10:59,DOT,0.01845744,0.66,Reward,
13/01/2022 10:59,DOT,0.01846350,0.7,Reward,
14/01/2022 10:59,DOT,0.01846957,0.66,Reward,
15/01/2022 10:59,DOT,0.01847564,0.7,Reward,
16/01/2022 10:59,DOT,0.01848171,0.71,Reward,
17/01/2022 10:59,DOT,0.01848778,0.71,Reward,
18/01/2022 10:59,DOT,0.01849385,0.66,Reward,
19/01/2022 10:59,DOT,0.01849993,0.64,Reward,
20/01/2022 10:59,DOT,0.01850601,0.62,Reward,
21/01/2022 10:59,DOT,0.01851209,0.59,Reward,
22/01/2022 10:59,DOT,0.01851817,0.51,Reward,
23/01/2022 10:59,DOT,0.01852425,0.47,Reward,
24/01/2022 10:59,DOT,0.01853034,0.49,Reward,
25/01/2022 10:59,DOT,0.01853643,0.47,Reward,
26/01/2022 10:59,DOT,0.01854252,0.48,Reward,
27/01/2022 10:59,DOT,0.01854861,0.47,Reward,
28/01/2022 10:59,DOT,0.01855470,0.47,Reward,
29/01/2022 10:59,DOT,0.01856080,0.48,Reward,
30/01/2022 10:59,DOT,0.01856690,0.5,Reward,
31/01/2022 10:59,DOT,0.01857300,0.48,Reward,
01/02/2022 10:59,DOT,0.01857910,0.51,Reward,
02/02/2022 10:59,DOT,0.01858520,0.52,Reward,
03/02/2022 10:59,DOT,0.01859131,0.49,Reward,
04/02/2022 10:59,DOT,0.01859742,0.49,Reward,
05/02/2022 10:59,DOT,0.01860353,0.53,Reward,
06/02/2022 10:59,DOT,0.01860964,0.56,Reward,
07/02/2022 10:59,DOT,0.01861575,0.57,Reward,
08/02/2022 10:59,DOT,0.01862187,0.59,Reward,
09/02/2022 10:59,DOT,0.01862799,0.57,Reward,
